consorciado;numero requerimiento;fecha requerimiento;descripcion;tipo solicitud;sede;ubicacion;numero cotizacion consorcio;fecha cotizacion consorcio;numero cotizacion consorciado;fecha cotizacion consorciado;estado cotizacion;valor mano de obra;valor materiales;costo directo;administracion;imprevistos;utilidad;impuesto;total;valor facturado;valor pagado;numero factura;tipo acta;fecha acta;detalle acta;pago consorciado;numero factura consorciado;valor mano obra consorciado;valor materiales consorciado;costo directo consorciado;administracion consorciado;imprevistos consorciado;utilidad consorciado;impuesto consorciado;total consorciado;valor mano obra administracion;valor materiales administracion;costo directo administracion;administracion administracion;imprevistos administracion;utilidad administracion;impuesto administracion;total administracion
INCOEL LTDA;00000414;2009-09-30;"Emergencia en Subestación Eléctrica
";Emergencia;BOGOTA - CD SUROCC AUTOSUR;Bogotá;00000420-00;2009-11-04;OM09-504 ;2009-11-04;Facturada total;159344;0;159344;0;0;0;25495;184839;184839;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000415;2009-09-30;"Emergencia en Cuarto Tecnico Racks Comunicación
";Emergencia;BOGOTA - CD SUROCC AUTOSUR;Bogotá;00000421-00;2009-11-04;OM09-505;2009-11-04;Facturada total;39836;0;39836;0;0;0;6373;46209;46210;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000407;2009-09-29;"Adecuación puntos eléctricos y lógicos oficina Distribución
";Servicio por demanda;TECHO;Bogotá;00000405-00;2009-11-04;OM09-496;2009-11-04;Ejecutada;336700;1016017;1352717;0;0;0;216434;1569151;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000408;2009-09-29;"Adecuación de iluminación en mesas inoxidables para pruebas
";Servicio por demanda;CERVECERIA BUCARAMANGA;Bucaramanga;00000406-00;2009-11-04;CT-CIM-09-105 ;2009-11-04;En ejecución;78000;234000;312000;0;0;0;49920;361920;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000412;2009-09-29;"Adecuación ruta de tuberia Sala de Juntas Bodega Reempaque
";Servicio por demanda;TECHO;Bogotá;00000412-00;2009-11-04;OM09-494 ;2009-11-04;Ejecutada;167384;664846;832230;0;0;0;133156;965386;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000409;2009-09-29;"Adecuación de lampara para OVNIVISION Tren 1
";Servicio por demanda;CERVECERIA BUCARAMANGA;Bucaramanga;00000407-00;2009-11-04;CT-CIM-09-106 ;2009-11-04;En ejecución;86000;735600;821600;0;0;0;131456;953056;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000413;2009-09-29;"Adecuación para la instalación de reflectores en mastil 22 m Porteria Boyaca
";Proyecto;TECHO;Bogotá;00000413-00;2009-11-04;OM09-493 ;;Pendiente;350000;7100000;7450000;0;0;0;1192000;8642000;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000410;2009-09-29;"Adecuación de puntos de iluminación en zona de paletizadora Tren 2
";Proyecto;CERVECERIA BUCARAMANGA;Bucaramanga;00000408-00;2009-11-04;CT-CIM-09-107 ;2009-11-04;En ejecución;430000;2184000;2614000;0;0;0;418240;3032240;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000453;2009-10-16;"Adecuación iluminación de baños
";Servicio por demanda;CUCUTA - CD PREMIER;Cúcuta;00000489-00;2009-11-04;CT-CIM-09-130 ;2009-11-04;Ejecutada;203000;295200;498200;0;0;0;79712;577912;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000445;2009-10-14;"Mantenimiento de iluminación taller montacarga
";Servicio por demanda;CUCUTA - CD PREMIER;Cúcuta;00000488-00;2009-11-04;CT-CIM-09-129 ;2009-11-04;Ejecutada;165000;0;165000;0;0;0;26400;191400;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000419;2009-10-02;"Mantenimiento del transformador 115 KV 
";Mantenimiento;CERVECERIA DE BOYACA;Tibasosa;00000451-00;2009-11-04;CT-CIM-09-122 ;2009-11-04;En ejecución;2720000;2200000;4920000;0;0;0;787200;5707200;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
